step,episode,ep_return_raw,ep_return_shaped,ep_len,loss,q_mean,epsilon,replay_size
64350,274,60.0,6.0,269,0.0030544905457645655,0.4510837197303772,0.942085,50000
64976,275,80.0,8.0,626,0.002068210393190384,0.27544277906417847,0.9415216,50000
65056,276,30.0,3.0,80,0.0025855035055428743,0.352371484041214,0.9414496,50000
65792,277,130.0,13.0,736,0.0018992430996149778,0.34629887342453003,0.9407872,50000
66342,278,50.0,5.0,550,0.0032493469770997763,0.32429367303848267,0.9402922,50000
66393,279,10.0,1.0,51,0.0017225382616743445,0.34523001313209534,0.9402463,50000
66660,280,50.0,5.0,267,0.001995607279241085,0.29408693313598633,0.940006,50000
66752,281,10.0,1.0,92,0.0028730446938425303,0.3698342442512512,0.9399232,50000
66909,282,30.0,3.0,157,0.004151639062911272,0.3628418445587158,0.9397819000000001,50000
67455,283,110.0,11.0,546,0.005686071701347828,0.3504043221473694,0.9392905,50000
67684,284,30.0,3.0,229,0.0020145780872553587,0.2420978993177414,0.9390844,50000
67735,285,0.0,0.0,51,0.0029729879461228848,0.3684488534927368,0.9390385,50000
67843,286,10.0,1.0,108,0.005226563662290573,0.3847687244415283,0.9389413,50000
68038,287,20.0,2.0,195,0.0014189175562933087,0.3273277282714844,0.9387658,50000
68144,288,10.0,1.0,106,0.0020515830256044865,0.3031359314918518,0.9386704,50000
68198,289,10.0,1.0,54,0.0012067955685779452,0.32126396894454956,0.9386218,50000
68312,290,10.0,1.0,114,0.003212741808965802,0.3775007426738739,0.9385192,50000
68391,291,10.0,1.0,79,0.001679235021583736,0.3725629448890686,0.9384481,50000
68494,292,20.0,2.0,103,0.005448182579129934,0.3282538056373596,0.9383554,50000
68588,293,20.0,2.0,94,0.000852909404784441,0.39451053738594055,0.9382708,50000
68635,294,10.0,1.0,47,0.004197267349809408,0.3256121277809143,0.9382285,50000
68909,295,70.0,7.0,274,0.00339822331443429,0.31417718529701233,0.9379819,50000
69081,296,50.0,5.0,172,0.0017004352994263172,0.3671976327896118,0.9378271,50000
69503,297,50.0,5.0,422,0.001950114849023521,0.29376593232154846,0.9374473,50000
69982,298,100.0,10.0,479,0.006752725690603256,0.36473262310028076,0.9370162,50000
70062,299,10.0,1.0,80,0.006696215830743313,0.4337589740753174,0.9369442,50000
70442,300,50.0,5.0,380,0.003992910962551832,0.4869872033596039,0.9366022,50000
70706,301,40.0,4.0,264,0.004835530184209347,0.4611029624938965,0.9363646,50000
70764,302,0.0,0.0,58,0.0031184167601168156,0.4244585633277893,0.9363124,50000
70981,303,50.0,5.0,217,0.005351921543478966,0.31623297929763794,0.9361171,50000
71427,304,110.0,11.0,446,0.002559380605816841,0.4785871207714081,0.9357157,50000
71478,305,10.0,1.0,51,0.0054557956755161285,0.5767031908035278,0.9356698,50000
71560,306,0.0,0.0,82,0.004605397582054138,0.5231843590736389,0.935596,50000
71667,307,20.0,2.0,107,0.00740419328212738,0.4671250879764557,0.9354997,50000
72210,308,100.0,10.0,543,0.004664441104978323,0.4164605736732483,0.935011,50000
72324,309,20.0,2.0,114,0.00529818469658494,0.5379118323326111,0.9349084,50000
73136,310,120.0,12.0,812,0.004482557997107506,0.3989969491958618,0.9341775999999999,50000
73326,311,30.0,3.0,190,0.0022280861157923937,0.3739964962005615,0.9340066,50000
73440,312,20.0,2.0,114,0.0025048800744116306,0.37495672702789307,0.933904,50000
73495,313,0.0,0.0,55,0.0018988052615895867,0.48871171474456787,0.9338545,50000
73580,314,20.0,2.0,85,0.0030310233123600483,0.33967095613479614,0.933778,50000
73856,315,40.0,4.0,276,0.0019284529844298959,0.3659447729587555,0.9335296,50000
73985,316,30.0,3.0,129,0.008185568265616894,0.524471640586853,0.9334135,50000
74039,317,10.0,1.0,54,0.003289320506155491,0.3785448670387268,0.9333648999999999,50000
74087,318,0.0,0.0,48,0.01826777309179306,0.3921475410461426,0.9333217,50000
74360,319,30.0,3.0,273,0.0019526246469467878,0.39930832386016846,0.933076,50000
74811,320,80.0,8.0,451,0.0043053776025772095,0.38515567779541016,0.9326701,50000
74969,321,40.0,4.0,158,0.0019021931802853942,0.41373518109321594,0.9325279,50000
75344,322,60.0,6.0,375,0.004269296303391457,0.5681617259979248,0.9321904,50000
75544,323,30.0,3.0,200,0.003754002507776022,0.3454165458679199,0.9320104,50000
76064,324,90.0,9.0,520,0.0036774317268282175,0.34803828597068787,0.9315424,50000
