step,episode,ep_return_raw,ep_return_shaped,ep_len,loss,q_mean,epsilon,replay_size,lr
169075,185,80.0,0.7999999999999999,557,2.7910966309718788e-05,0.08429038524627686,0.83261575,150000,5.95411875e-05
169617,186,80.0,0.7999999999999999,542,7.152945909183472e-05,0.08672644942998886,0.83207917,150000,5.95317025e-05
170232,187,130.0,1.3,615,0.00016392844554502517,0.08452212810516357,0.83147032,150000,5.9520940000000004e-05
170693,188,100.0,0.9999999999999999,461,6.152428250061348e-05,0.08382783830165863,0.83101393,150000,5.95128725e-05
171080,189,70.0,0.7,387,1.3033613868174143e-05,0.0829271674156189,0.8306308,150000,5.95061e-05
171584,190,110.0,1.0999999999999999,504,2.4121220121742226e-05,0.07902982831001282,0.83013184,150000,5.949728e-05
172437,191,205.0,2.0500000000000003,853,3.874361573252827e-05,0.08695761859416962,0.82928737,150000,5.94823525e-05
173600,192,250.0,2.5,1163,0.00012704172695521265,0.08087114989757538,0.828136,150000,5.9462e-05
174709,193,220.0,2.2,1109,0.00012784969294443727,0.08741798996925354,0.8270380900000001,150000,5.94425925e-05
176010,194,295.0,2.9499999999999997,1301,6.232556188479066e-05,0.08153367042541504,0.8257501,150000,5.9419825e-05
176519,195,110.0,1.0999999999999999,509,1.3087313163850922e-05,0.08249188959598541,0.82524619,150000,5.94109175e-05
177643,196,160.0,1.6000000000000003,1124,1.5995179637684487e-05,0.07397276163101196,0.8241334300000001,150000,5.93912475e-05
178312,197,120.0,1.2,669,7.642254786333069e-05,0.07999750971794128,0.82347112,150000,5.937954e-05
178822,198,130.0,1.3,510,2.099797893606592e-05,0.08180923759937286,0.82296622,150000,5.9370615000000005e-05
179469,199,140.0,1.4000000000000001,647,1.109028744394891e-05,0.07742257416248322,0.82232569,150000,5.93592925e-05
180433,200,150.0,1.5000000000000002,964,0.0003794978838413954,0.08433566987514496,0.82137133,150000,5.93424225e-05
180963,201,120.0,1.2,530,5.7444587582722306e-05,0.09114085882902145,0.82084663,150000,5.93331475e-05
181276,202,70.0,0.7,313,3.6492561775958166e-05,0.08261041343212128,0.82053676,150000,5.932767e-05
181766,203,110.0,1.0999999999999999,490,4.892449942417443e-05,0.08516327291727066,0.82005166,150000,5.9319095e-05
182620,204,150.0,1.5000000000000002,854,7.122732495190576e-05,0.08694252371788025,0.8192062,150000,5.9304150000000004e-05
183158,205,160.0,1.6000000000000003,538,4.6060828026384115e-05,0.08943814039230347,0.81867358,150000,5.9294735e-05
183510,206,60.0,0.6,352,0.00019911889103241265,0.09050226956605911,0.8183251,150000,5.9288575e-05
183854,207,60.0,0.6,344,2.5183124307659455e-05,0.08807361125946045,0.81798454,150000,5.9282555000000004e-05
184999,208,140.0,1.4000000000000001,1145,5.868337393621914e-05,0.08882290869951248,0.81685099,150000,5.92625175e-05
